case,time_min,feed_kmol_min,x_bottom,x_feed,x_top,M_bottom_kmol,M_feed_kmol,M_top_kmol,distillate_light_kmol_min,bottoms_light_kmol_min,total_inventory_kmol,light_inventory_kmol,max_abs_x_v2_minus_reference,max_abs_M_v2_minus_reference_kmol
feed_plus_1_percent,450.0,1.01,0.016686053999032623,0.5346065039085335,0.9923860933806998,4.9874,0.50063,0.5,0.4961930466903499,0.008343026999516312,25.0,11.094991313884147,6.661338147750939e-16,8.881784197001252e-16
feed_plus_1_percent,460.0,1.01,0.016716730851059423,0.5347229703320582,0.9923933837282269,5.0874,0.5006300000000001,0.5,0.49619669186411347,0.008358365425529712,25.1,11.09953460704205,6.661338147750939e-16,2.6645352591003757e-15
feed_plus_1_percent,470.0,1.01,0.01674545990869817,0.5348316419989335,0.9924001767866298,5.1874,0.50063,0.5,0.4962000883933149,0.008372729954349085,25.200000000000003,11.103894242706644,5.551115123125783e-16,2.6645352591003757e-15
feed_plus_1_percent,480.0,1.01,0.016772359861233536,0.5349330425587746,0.992406507144328,5.287400000000001,0.50063,0.5,0.496203253572164,0.008386179930616768,25.3,11.10808205926621,4.440892098500626e-16,1.7763568394002505e-15
feed_plus_1_percent,490.0,1.01,0.01679754288687823,0.5350276605841575,0.9924124069196023,5.3874,0.5006300000000002,0.5,0.49620620345980115,0.008398771443439115,25.400000000000006,11.112109151358784,3.3306690738754696e-16,8.881784197001252e-16
feed_plus_1_percent,500.0,1.01,0.016821114909828693,0.5351159518816667,0.9924179059437931,5.487400000000003,0.50063,0.5,0.49620895297189654,0.008410557454914347,25.500000000000007,11.115985913673844,5.551115123125783e-16,4.440892098500626e-16
bounded_perturbed_state,0.0,1.0,0.01,0.4996378772951076,0.9907451131604793,0.502,0.5008161641236268,0.49866612387669546,0.49537255658023965,0.005,20.50169698242989,10.25417445629015,0.0,0.0
bounded_perturbed_state,10.0,1.0,0.010015201626318177,0.49884408680132203,0.9900133843188779,0.5030308585527475,0.5000000000000008,0.49866612387669546,0.49500669215943893,0.005007600813159089,20.50169698242989,10.253680034550113,6.661338147750939e-16,9.547918011776346e-15
bounded_perturbed_state,20.0,1.0,0.010013297373953862,0.49884305851583266,0.9900107777403232,0.5030308585531841,0.5000000000000002,0.49866612387669546,0.4950053888701616,0.005006648686976931,20.501696982429888,10.253551892743877,1.609823385706477e-15,4.363176486776865e-14
bounded_perturbed_state,30.0,1.0,0.010012594339431158,0.4988374184537277,0.9900100933194546,0.5030308585532509,0.4999999999999995,0.49866612387669546,0.4950050466597273,0.005006297169715579,20.501696982429888,10.253435204569579,2.4147350785597155e-15,3.6692870963861424e-14
bounded_perturbed_state,40.0,1.0,0.010011970430310978,0.49883178937631983,0.9900095644034498,0.5030308585532256,0.49999999999999994,0.49866612387669546,0.4950047822017249,0.005005985215155489,20.50169698242989,10.253324684830917,1.3322676295501878e-15,1.5987211554602254e-14
bounded_perturbed_state,50.0,1.0,0.010011375009809417,0.49882642416940126,0.9900090757695655,0.503030858553194,0.4999999999999999,0.49866612387669546,0.49500453788478277,0.005005687504904708,20.501696982429888,10.25321974512508,3.885780586188048e-16,6.328271240363392e-15
bounded_perturbed_state,60.0,1.0,0.01001080704277363,0.49882132600828666,0.9900086153701249,0.5030308585531906,0.5,0.49866612387669546,0.49500430768506243,0.005005403521386815,20.501696982429884,10.253120084457052,6.661338147750939e-16,9.992007221626409e-16
bounded_perturbed_state,70.0,1.0,0.010010266493724673,0.49881648324570566,0.9900081795636244,0.5030308585531897,0.5000000000000001,0.49866612387669546,0.4950040897818122,0.005005133246862336,20.501696982429884,10.25302543434192,6.661338147750939e-16,3.6637359812630166e-15
bounded_perturbed_state,80.0,1.0,0.010009752636377633,0.49881188350836714,0.990007766270838,0.5030308585531916,0.5000000000000003,0.49866612387669546,0.495003883135419,0.0050048763181888166,20.501696982429884,10.252935541887545,8.881784197001252e-16,6.106226635438361e-15
